id,cost
251,3.992968495
252,3.638895648
253,3.393505535
254,1.83489925
255,4.77172891
256,4.145347732
257,3.5224918
258,12.98871602
259,1.082270477
260,14.67826901
261,10000
262,10000
263,10000
264,10000
265,8.165491451
266,7.499235947
267,5.094157121
268,10.4611197
269,20.02517851
270,10.29491074
271,6.842111179
272,36.32046925
273,5.007748059
274,6.516183047
275,7.144500035
276,20.62318169
277,10.25637611
278,5.048286449
279,16.38810752
280,5.90784719
281,7.445618852
282,4.958777952
283,6.012636638
284,19.99896151
285,9.643623978
286,17.25666855
287,8.603010075
288,5.326482237
289,18.92534672
290,9.567736421
291,6.603547094
292,25.54245641
293,5.123212478
294,4.581691739
295,31.6593149
296,8.927249104
297,16.31341542
298,4.264706055
299,13.18676065
300,6.631693603
301,0.718282213
302,5.398836682
303,4.342846274
304,7.523994532
305,9.607910267
306,7.815689139
307,5.801610111
308,6.607195005
309,6.439370015
310,6.69774006
311,9.487456154
312,4.26511598
313,4.445268204
314,6.121980359
315,6.94944928
316,2.059612583
317,6.227467259
318,6.742249241
319,34.40055647
320,5.427974466
321,6.199051384
322,4.299574437
323,9.69464427
324,8.579848983
325,4.245445384
326,7.889068988
327,5.002770431
328,5.734518297
329,15.16178134
330,5.813414136
331,5.3484659
332,5.772070409
333,4.776287682
334,6.025589643
335,5.073360435
336,4.482219878
337,0.682503498
338,5.328583612
339,5.827527582
340,5.634547781
341,7.879947666
342,4.081560719
343,7.821686464
344,7.986661036
345,4.426179323
346,4.055716117
347,4.169092895
348,5.222942402
349,5.350495276
350,5.157458275
351,4.530863318
352,6.257857029
353,7.810889361
354,7.534867643
355,5.428124989
356,6.920215763
357,3.716098854
358,13.63922681
359,5.582846036
360,4.039698071
361,4.299400513
362,5.818625135
363,5.030996676
364,5.227500689
365,1.163035467
366,4.607745905
367,4.144575307
368,13.27366505
369,5.899912456
370,5.97035311
371,7.73938938
372,8.704803033
373,4.107064659
374,4.552087307
375,5.191555279
376,5.286396843
377,11.78651867
378,5.730838178
