id,cost
152,1037756.069
153,862409.37
154,850694.0005
155,829962.167
156,784054.0659
157,775380.659
158,765304.5776
159,749866.686
160,729314.6252
161,728361.5839
162,714607.9385
163,714195.1876
164,710019.1202
165,704253.4207
166,702562.7796
167,697225.3796
168,695308.1194
169,679137.7277
170,677914.4928
171,677576.1097
172,677425.2382
173,676731.0165
174,673266.5959
175,670266.5997
176,663998.5191
177,663299.005
178,658408.7523
179,656005.3871
180,656033.3528
181,653293.3815
182,651698.6704
183,651601.6542
184,649800.686
185,649477.1495
186,648543.6883
187,647505.2752
188,647505.7624
189,647502.869
190,647502.1443
191,646671.9043
192,644438.339
193,643816.7647
194,642616.7154
195,641972.3062
196,641798.5246
197,641321.8275
198,639000.331
199,638828.8644
200,638139.4185
201,637836.5969
202,634935.4104
203,634630.9559
204,634302.8015
205,632611.329
206,631098.5123
207,630862.3886
208,630615.5682
209,629926.3492
210,629624.157
211,626600.2875
212,626630.2829
213,616877.6367
214,615020.5527
215,614403.5339
216,613175.1412
217,609885.2154
218,609002.7133
219,606165.9482
220,603624.4128
221,603727.8043
222,602258.1961
223,601465.9119
224,600150.7176
225,599614.3541
226,593990.5367
227,591448.674
228,584633.1089
229,582587.196
230,579771.6787
231,578244.7076
232,573359.2578
233,573068.6577
234,572231.5466
235,568925.3632
236,567037.582
237,566542.9626
238,562719.7894
239,557439.5809
240,556484.7187
241,556230.6045
242,548203.8205
243,543740.2457
244,542232.8054
245,537234.7483
246,524303.7403
247,520944.6597
248,520497.3923
249,518777.1079
250,515312.2909
251,513816.3027
252,505933.9136
253,499825.8807
254,499149.3343
255,496065.5838
256,495080.8698
257,494361.8148
258,489234.978
259,485900.7398
260,484395.1921
261,653163.9701
262,647503.3346
263,589858.7443
264,493949.1313
265,826969.7595
266,823247.1186
267,821224.8964
268,817270.7759
269,814121.2275
270,812797.9317
271,810884.9994
272,810706.3449
273,809373.8617
274,795034.9954
275,780049.1184
276,777577.1186
277,771853.5856
278,770938.2113
279,769529.8255
280,767589.7334
281,761090.2673
282,748983.901
283,748098.1079
284,746185.2891
285,742290.9163
286,736807.8891
287,733475.3294
288,727281.7558
289,726394.9003
290,721867.9318
291,721137.1592
292,710709.7151
293,692344.5411
294,692469.0156
295,687863.0145
296,686920.2669
297,681089.767
298,677933.1271
299,677620.0772
300,675307.1599
301,674153.126
302,673850.5382
303,668055.928
